id,name_ar,name_en,type_ar,type_en,description_ar,description_en,logo_url,website_url,partnership_type_ar,partnership_type_en,collaboration_areas_ar,collaboration_areas_en,status,featured,start_date,created_at,updated_at
1,المركز الوطني للتعليم الإلكتروني,National Center for E-Learning,مركز حكومي,Government Center,"المركز الوطني للتعليم الإلكتروني هو الجهة المختصة بالتعليم الإلكتروني في المملكة، ويقدم منصات تعليمية متقدمة مثل FutureX و OERx","National Center for E-Learning is the specialized entity for e-learning in the Kingdom, providing advanced educational platforms such as FutureX and OERx",/images/partners/nelc-logo.png,https://nelc.gov.sa,شراكة استراتيجية,Strategic Partnership,"المنصات التعليمية، التطوير المهني الإلكتروني، الموارد التعليمية المفتوحة","Educational Platforms, Electronic Professional Development, Open Educational Resources",active,true,2021-01-01,2024-01-01,2024-01-01
2,المعهد الوطني للتعليم - سنغافورة,National Institute of Education - Singapore,معهد تعليمي دولي,International Educational Institute,"المعهد الوطني للتعليم في سنغافورة هو أحد أبرز معاهد إعداد المعلمين في العالم، تابع لجامعة نانيانغ التكنولوجية","National Institute of Education Singapore is one of the world's leading teacher preparation institutes, affiliated with Nanyang Technological University",/images/partners/nie-singapore-logo.png,https://www.nie.edu.sg,شراكة دولية,International Partnership,"إعداد المعلمين، نقل أفضل الممارسات العالمية، التدريب المتخصص","Teacher Preparation, Transfer of Global Best Practices, Specialized Training",active,true,2024-01-01,2024-01-01,2024-01-01
3,مجموعة السليمان الخيرية,Al-Sulaiman Charitable Group,مؤسسة خيرية,Charitable Foundation,"مجموعة السليمان الخيرية هي إحدى المؤسسات الخيرية الرائدة في المملكة التي تهتم بدعم التعليم والتطوير","Al-Sulaiman Charitable Group is one of the leading charitable institutions in the Kingdom that focuses on supporting education and development",/images/partners/sulaiman-group-logo.png,https://sulaiman.org.sa,شراكة مجتمعية,Community Partnership,"تطوير منهجية STEM، التدريب التخصصي، دعم البرامج التعليمية","STEM Methodology Development, Specialized Training, Educational Program Support",active,true,2025-01-01,2024-01-01,2024-01-01
4,مركز القصيم العلمي,Qassim Scientific Center,مركز علمي,Scientific Center,"مركز القصيم العلمي هو مركز متخصص في العلوم والتكنولوجيا يهدف إلى نشر الثقافة العلمية والتقنية","Qassim Scientific Center is a specialized center in science and technology aimed at spreading scientific and technical culture",/images/partners/qassim-scientific-logo.png,https://qsc.edu.sa,شراكة تعليمية,Educational Partnership,"منهجية STEM، التطوير العلمي، البحث والتطوير","STEM Methodology, Scientific Development, Research and Development",active,true,2025-01-01,2024-01-01,2024-01-01
5,جامعة الملك سعود,King Saud University,جامعة حكومية,Government University,"جامعة الملك سعود هي أول جامعة تأسست في المملكة العربية السعودية وإحدى الجامعات الرائدة في المنطقة","King Saud University is the first university established in Saudi Arabia and one of the leading universities in the region",/images/partners/ksu-logo.png,https://ksu.edu.sa,شراكة أكاديمية,Academic Partnership,"إعداد المعلمين، التدريب الأكاديمي، البحث التربوي","Teacher Preparation, Academic Training, Educational Research",active,true,2021-06-01,2024-01-01,2024-01-01
6,جامعة الملك عبد العزيز,King Abdulaziz University,جامعة حكومية,Government University,"جامعة الملك عبد العزيز هي إحدى الجامعات الرائدة في المملكة وتتميز بتنوع برامجها الأكاديمية والبحثية","King Abdulaziz University is one of the leading universities in the Kingdom, distinguished by its diverse academic and research programs",/images/partners/kau-logo.png,https://kau.edu.sa,شراكة أكاديمية,Academic Partnership,"التطوير المهني، التدريب التخصصي، البحث العلمي","Professional Development, Specialized Training, Scientific Research",active,true,2021-08-01,2024-01-01,2024-01-01
7,جامعة الملك خالد,King Khalid University,جامعة حكومية,Government University,"جامعة الملك خالد هي جامعة سعودية حكومية تقع في منطقة عسير وتخدم المنطقة الجنوبية من المملكة","King Khalid University is a Saudi government university located in Asir region, serving the southern region of the Kingdom",/images/partners/kku-logo.png,https://kku.edu.sa,شراكة أكاديمية,Academic Partnership,"برامج التطوير المهني، التدريب الميداني، الشراكة البحثية","Professional Development Programs, Field Training, Research Partnership",active,true,2022-01-01,2024-01-01,2024-01-01
8,شركة تطوير للخدمات التعليمية,Tatweer Educational Services Company,شركة تعليمية,Educational Company,"شركة تطوير للخدمات التعليمية (Talemia) هي شركة متخصصة في تقديم الحلول التعليمية والتدريبية المتقدمة","Tatweer Educational Services Company (Talemia) is a company specialized in providing advanced educational and training solutions",/images/partners/tatweer-logo.png,https://talemia.com,شراكة تجارية,Commercial Partnership,"التطوير المهني للمعلمين، قيادات المدارس، الحلول التقنية","Professional Development for Teachers, School Leaders, Technical Solutions",active,false,2023-03-01,2024-01-01,2024-01-01
9,وزارة التعليم,Ministry of Education,وزارة حكومية,Government Ministry,"وزارة التعليم هي الجهة المسؤولة عن التعليم العام والعالي في المملكة العربية السعودية","Ministry of Education is the entity responsible for general and higher education in Saudi Arabia",/images/partners/moe-logo.png,https://moe.gov.sa,الجهة الأم,Parent Entity,"السياسات التعليمية، التطوير المهني، الإشراف التنظيمي","Educational Policies, Professional Development, Regulatory Supervision",active,true,2019-11-05,2024-01-01,2024-01-01
10,معهد الإدارة العامة,Institute of Public Administration,معهد حكومي,Government Institute,"معهد الإدارة العامة هو معهد متخصص في التدريب والتطوير الإداري والقيادي في القطاع الحكومي","Institute of Public Administration is a specialized institute in administrative and leadership training and development in the government sector",/images/partners/ipa-logo.png,https://ipa.edu.sa,شراكة حكومية,Government Partnership,"التطوير الإداري، القيادة، التدريب الحكومي","Administrative Development, Leadership, Government Training",active,false,2020-01-01,2024-01-01,2024-01-01
11,المؤسسة العامة للتدريب التقني والمهني,Technical and Vocational Training Corporation,مؤسسة حكومية,Government Corporation,"المؤسسة العامة للتدريب التقني والمهني هي الجهة المسؤولة عن التدريب التقني والمهني في المملكة","Technical and Vocational Training Corporation is the entity responsible for technical and vocational training in the Kingdom",/images/partners/tvtc-logo.png,https://tvtc.gov.sa,شراكة حكومية,Government Partnership,"التدريب التقني، التطوير المهني، التعليم المهني","Technical Training, Professional Development, Vocational Education",active,false,2020-06-01,2024-01-01,2024-01-01
12,هيئة تقويم التعليم والتدريب,Education and Training Evaluation Commission,هيئة حكومية,Government Authority,"هيئة تقويم التعليم والتدريب هي الجهة المسؤولة عن تقويم التعليم والتدريب في المملكة","Education and Training Evaluation Commission is the entity responsible for evaluating education and training in the Kingdom",/images/partners/etec-logo.png,https://etec.gov.sa,شراكة حكومية,Government Partnership,"تقويم التعليم، معايير الجودة، الاعتماد الأكاديمي","Education Evaluation, Quality Standards, Academic Accreditation",active,false,2020-01-01,2024-01-01,2024-01-01
13,جامعة كاليفورنيا,University of California,جامعة دولية,International University,"جامعة كاليفورنيا هي نظام جامعي عام في ولاية كاليفورنيا الأمريكية ومن أبرز الجامعات البحثية في العالم","University of California is a public university system in California, USA, and one of the world's leading research universities",/images/partners/uc-logo.png,https://www.universityofcalifornia.edu,شراكة أكاديمية دولية,International Academic Partnership,"المحتوى الأكاديمي، البحث العلمي، برامج القيادة","Academic Content, Scientific Research, Leadership Programs",active,false,2023-01-01,2024-01-01,2024-01-01
14,جامعة كولورادو,University of Colorado,جامعة دولية,International University,"جامعة كولورادو هي نظام جامعي عام في ولاية كولورادو الأمريكية ومعروفة ببرامجها المتميزة في التعليم والقيادة","University of Colorado is a public university system in Colorado, USA, known for its excellent programs in education and leadership",/images/partners/colorado-logo.png,https://www.cu.edu,شراكة أكاديمية دولية,International Academic Partnership,"برامج القيادة التعليمية، المحتوى الأكاديمي، التطوير المهني","Educational Leadership Programs, Academic Content, Professional Development",active,false,2023-01-01,2024-01-01,2024-01-01
